city,lat,lng,country,admin
New York,40.6943,-73.9249,United States,admin
Los Angeles,34.1141,-118.4068,United States,admin
London,51.5072,-0.1275,United Kingdom,admin
Chicago,41.8375,-87.6866,United States,admin
Miami,25.784,-80.2101,United States,admin
Houston,29.786,-95.3885,United States,admin
Dallas,32.7935,-96.7667,United States,admin
Philadelphia,40.0077,-75.1339,United States,admin
Atlanta,33.7628,-84.422,United States,admin
Washington,38.9047,-77.0163,United States,admin
Boston,42.3188,-71.0852,United States,admin
Phoenix,33.5722,-112.0892,United States,admin
Detroit,42.3834,-83.1024,United States,admin
Seattle,47.6211,-122.3244,United States,admin
San Francisco,37.7558,-122.4449,United States,admin
San Diego,32.8313,-117.1222,United States,admin
Minneapolis,44.9635,-93.2678,United States,admin
Tampa,27.9945,-82.4447,United States,admin
Brooklyn,40.6501,-73.9496,United States,admin
Denver,39.762,-104.8758,United States,admin
Birmingham,52.48,-1.9025,United Kingdom,admin
Queens,40.7498,-73.7976,United States,admin
Riverside,33.9381,-117.3949,United States,admin
Las Vegas,36.2333,-115.2654,United States,admin
Baltimore,39.3051,-76.6144,United States,admin
St. Louis,38.6359,-90.2451,United States,admin
Portland,45.5371,-122.65,United States,admin
San Antonio,29.4632,-98.5238,United States,admin
Sacramento,38.5677,-121.4685,United States,admin
Austin,30.3005,-97.7522,United States,admin
Orlando,28.4773,-81.337,United States,admin
San Jose,37.3012,-121.848,United States,admin
Indianapolis,39.7771,-86.1458,United States,admin
Pittsburgh,40.4397,-79.9763,United States,admin
Cincinnati,39.1413,-84.506,United States,admin
Manhattan,40.7834,-73.9662,United States,admin
Kansas City,39.1238,-94.5541,United States,admin
Cleveland,41.4764,-81.6805,United States,admin
Columbus,39.9862,-82.9855,United States,admin
Bronx,40.8501,-73.8662,United States,admin
Charlotte,35.2083,-80.8303,United States,admin
Virginia Beach,36.7335,-76.0435,United States,admin
Jacksonville,30.3322,-81.6749,United States,admin
Milwaukee,43.0642,-87.9675,United States,admin
Providence,41.823,-71.4187,United States,admin
Nashville,36.1715,-86.7842,United States,admin
Salt Lake City,40.7776,-111.9311,United States,admin
Raleigh,35.8324,-78.6429,United States,admin
Richmond,37.5295,-77.4756,United States,admin
Memphis,35.1087,-89.9663,United States,capital
Oklahoma City,35.4676,-97.5136,United States,primary
Hartford,41.7661,-72.6834,United States,primary
Reading,51.4542,-0.9731,United Kingdom,
Manchester,53.479,-2.2452,United Kingdom,
Cambridge,52.205,0.1225,United Kingdom,
Tokyo,35.687,139.7495,Japan,admin
Jakarta,-6.175,106.8275,Indonesia,admin
Delhi,28.61,77.23,India,admin
Guangzhou,23.13,113.26,China,admin
Mumbai,19.0761,72.8775,India,admin
Manila,14.5958,120.9772,Philippines,admin
Shanghai,31.2286,121.4747,China,admin
Sao Paulo,-23.5504,-46.6339,Brazil,admin
Seoul,37.5667,126.9833,"Korea, South",admin
Mexico City,19.4333,-99.1333,Mexico,admin
Kolkata,22.5675,88.37,India,admin
Cairo,30.0444,31.2358,Egypt,admin
Karachi,24.86,67.01,Pakistan,admin
Dhaka,23.7289,90.3944,Bangladesh,admin
Beijing,39.9067,116.3975,China,admin
Bangkok,13.7525,100.4942,Thailand,admin
Shenzhen,22.5415,114.0596,China,admin
Moscow,55.7506,37.6175,Russia,admin
Buenos Aires,-34.6036,-58.3814,Argentina,admin
Bangalore,12.9789,77.5917,India,admin
Ho Chi Minh City,10.7756,106.7019,Vietnam,admin
Osaka,34.6939,135.5022,Japan,admin
Chengdu,30.66,104.0633,China,admin
Istanbul,41.0136,28.955,Turkey,admin
Rio de Janeiro,-22.9111,-43.2056,Brazil,admin
Chennai,13.0825,80.275,India,admin
Xi'an,34.2611,108.9422,China,admin
Lahore,31.5497,74.3436,Pakistan,admin
Chongqing,29.5637,106.5504,China,admin
Paris,48.8567,2.3522,France,admin
Linyi,35.1038,118.3564,China,admin
Dongguan,23.021,113.752,China,admin
Baoding,38.874,115.464,China,admin
Hyderabad,17.3617,78.4747,India,admin
Tianjin,39.1336,117.2054,China,admin
Wuhan,30.5934,114.3046,China,admin
