city,lat,lng,country,admin,timezone,create_dashboard
New York,40.6943,-73.9249,United States,admin,America/New_York,False
Los Angeles,34.1141,-118.4068,United States,admin,America/Los_Angeles,False
London,51.5072,-0.1275,United Kingdom,admin,Europe/London,False
Chicago,41.8375,-87.6866,United States,admin,America/Chicago,False
Miami,25.784,-80.2101,United States,admin,America/New_York,False
Houston,29.786,-95.3885,United States,admin,America/Chicago,False
Dallas,32.7935,-96.7667,United States,admin,America/Chicago,False
Philadelphia,40.0077,-75.1339,United States,admin,America/New_York,False
Atlanta,33.7628,-84.422,United States,admin,America/New_York,False
Washington,38.9047,-77.0163,United States,admin,America/New_York,False
Boston,42.3188,-71.0852,United States,admin,America/New_York,False
Phoenix,33.5722,-112.0892,United States,admin,America/Phoenix,False
Detroit,42.3834,-83.1024,United States,admin,America/New_York,False
Seattle,47.6211,-122.3244,United States,admin,America/Los_Angeles,False
San Francisco,37.7558,-122.4449,United States,admin,America/Los_Angeles,False
San Diego,32.8313,-117.1222,United States,admin,America/Los_Angeles,False
Minneapolis,44.9635,-93.2678,United States,admin,America/Chicago,False
Tampa,27.9945,-82.4447,United States,admin,America/New_York,False
Brooklyn,40.6501,-73.9496,United States,admin,America/New_York,False
Denver,39.762,-104.8758,United States,admin,America/Denver,False
Birmingham,52.48,-1.9025,United Kingdom,admin,Europe/London,False
Queens,40.7498,-73.7976,United States,admin,America/New_York,False
Riverside,33.9381,-117.3949,United States,admin,America/Los_Angeles,False
Las Vegas,36.2333,-115.2654,United States,admin,America/Los_Angeles,False
Baltimore,39.3051,-76.6144,United States,admin,America/New_York,False
St. Louis,38.6359,-90.2451,United States,admin,America/Chicago,False
Portland,45.5371,-122.65,United States,admin,America/Los_Angeles,False
San Antonio,29.4632,-98.5238,United States,admin,America/Chicago,False
Sacramento,38.5677,-121.4685,United States,admin,America/Los_Angeles,False
Austin,30.3005,-97.7522,United States,admin,America/Chicago,False
Orlando,28.4773,-81.337,United States,admin,America/New_York,False
San Jose,37.3012,-121.848,United States,admin,America/Los_Angeles,False
